N5,1,だ,da,"to be, is",https://bunpro.jp/grammar_points/だ
N5,2,です,desu,"to be, is (polite)",https://bunpro.jp/grammar_points/です
N5,3,は,wa,topic marking particle,https://bunpro.jp/grammar_points/は
N5,4,も,mo,"also, too, as well",https://bunpro.jp/grammar_points/も
N5,5,これ,kore,this,https://bunpro.jp/grammar_points/これ
N5,6,それ,sore,that,https://bunpro.jp/grammar_points/それ
N5,7,あれ,are,that (over there),https://bunpro.jp/grammar_points/あれ
N5,8,の,no,indicates possession,https://bunpro.jp/grammar_points/の
N5,9,か,ka,question marking particle,https://bunpro.jp/grammar_points/か
N5,10,が,ga,"subject marking particle, but",https://bunpro.jp/grammar_points/が
N5,11,を,wo,object marking particle,https://bunpro.jp/grammar_points/を
N5,12,に,ni,"in, at, to (location/time)",
N5,13,で,de,"in, at, by (means/location)",
N5,14,と,to,and (connects nouns),
N5,15,から,kara,"from, because",
N5,16,まで,made,"until, to",
N5,17,ね,ne,"isn't it?, right?",
N5,18,よ,yo,emphasis particle,
N5,19,でも,demo,"but, however",
N5,20,どうして,doushite,"why, how",
